"","Rank","Song","Artist","Year"
"1484","84","Clap for the Wolfman","The Guess Who featuring Wolfman Jackand","1974"
"1485","85","I'll Have to Say I Love You in a Song","Jim Croceand","1974"
"1486","86","The Lord's Prayer","Sister Janet Meadand","1974"
"1487","87","Trying to Hold on to My Woman","Lamont Dozierand","1974"
"1488","88","Don't You Worry 'bout a Thing","Stevie Wonderand","1974"
"1489","89","A Very Special Love Song","Charlie Richand","1974"
"1490","90","My Girl Bill","Jim Staffordand","1974"
"1491","91","Helen Wheels","Paul McCartney and Wingsand","1974"
"1492","92","My Mistake (Was to Love You)","Diana Ross and Marvin Gayeand","1974"
"1493","93","Wildwood Weed","Jim Staffordand","1974"
"1494","94","Beach Baby","The First Classand","1974"
"1495","95","Me and Baby Brother","Warand","1974"
"1496","96","Rockin' Roll Baby","The Stylisticsand","1974"
"1497","97","I Honestly Love You","Olivia Newton-Johnand","1974"
"1498","98","Call on Me","Chicagoand","1974"
"1499","99","Wild Thing","Fancyand","1974"
"1500","100","Mighty Love","The Spinnersand","1974"
"1501","1","Love Will Keep Us Together","Captain and Tennilleand","1975"
"1502","2","Rhinestone Cowboy","Glen Campbelland","1975"
"1503","3","Philadelphia Freedom","Elton Johnand","1975"
"1504","4","Before the Next Teardrop Falls","Freddy Fenderand","1975"
"1505","5","My Eyes Adored You","Frankie Valliand","1975"
"1506","6","Some Kind of Wonderful","Grand Funk Railroadand","1975"
"1507","7","Shining Star","Earth, Wind and Fireand","1975"
"1508","8","Fame","David Bowieand","1975"
"1509","9","Laughter in the Rain","Neil Sedakaand","1975"
"1510","10","One of These Nights","Eaglesand","1975"
"1511","11","Thank God I'm a Country Boy","John Denverand","1975"
"1512","12","Jive Talkin'","Bee Geesand","1975"
"1513","13","Best of My Love","Eaglesand","1975"
"1514","14","Lovin' You","Minnie Ripertonand","1975"
"1515","15","Kung Fu Fighting","Carl Douglasand","1975"
"1516","16","Black Water","The Doobie Brothersand","1975"
"1517","17","The Ballroom Blitz","Sweetand","1975"
"1518","18","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song","B.J. Thomasand","1975"
"1519","19","He Don't Love You (Like I Love You)","Tony Orlando and Dawnand","1975"
"1520","20","At Seventeen","Janis Ianand","1975"
"1521","21","Pick Up the Pieces","Average White Bandand","1975"
"1522","22","The Hustle","Van McCoy and the Soul City Symphonyand","1975"
"1523","23","Lady Marmalade","Labelleand","1975"
"1524","24","Why Can't We Be Friends?","Warand","1975"
"1525","25","Love Won't Let Me Wait","Major Harrisand","1975"
"1526","26","Boogie On Reggae Woman","Stevie Wonderand","1975"
"1527","27","Wasted Days and Wasted Nights","Freddy Fenderand","1975"
"1528","28","Angie Baby","Helen Reddyand","1975"
"1529","29","Fight the Power","The Isley Brothersand","1975"
"1530","30","Jackie Blue","Ozark Mountain Daredevilsand","1975"
"1531","31","Fire","Ohio Playersand","1975"
"1532","32","Magic","Pilotand","1975"
"1533","33","Please Mr. Postman","The Carpentersand","1975"
"1534","34","Sister Golden Hair","Americaand","1975"
"1535","35","Lucy in the Sky with Diamonds","Elton Johnand","1975"
"1536","36","Mandy","Barry Manilowand","1975"
"1537","37","Have You Never Been Mellow","Olivia Newton-Johnand","1975"
"1538","38","Could It Be Magic","Barry Manilowand","1975"
"1539","39","Cat's in the Cradle","Harry Chapinand","1975"
"1540","40","Wildfire","Michael Martin Murpheyand","1975"
"1541","41","I'm Not Lisa","Jessi Colterand","1975"
"1542","42","Listen to What the Man Said","Wingsand","1975"
"1543","43","I'm Not in Love","10ccand","1975"
"1544","44","I Can Help","Billy Swanand","1975"
"1545","45","Fallin' in Love","Hamilton, Joe Frank and Reynoldsand","1975"
"1546","46","Feelings","Morris Albertand","1975"
"1547","47","When Will I Be Loved","Linda Ronstadtand","1975"
"1548","48","Chevy Van","Sammy Johnsand","1975"
"1549","49","You're the First, the Last, My Everything","Barry Whiteand","1975"
"1550","50","Please Mr. Please","Olivia Newton-Johnand","1975"
"1551","51","You're No Good","Linda Ronstadtand","1975"
"1552","52","Dynomite","Bazukaand","1975"
"1553","53","Walking in Rhythm","The Blackbyrdsand","1975"
"1554","54","The Way We Were/Try to Remember","Gladys Knight and the Pipsand","1975"
"1555","55","Midnight Blue","Melissa Manchesterand","1975"
"1556","56","Don't Call Us, We'll Call You","Sugarloafand","1975"
"1557","57","Poetry Man","Phoebe Snowand","1975"
"1558","58","How Long?","Aceand","1975"
"1559","59","Express","B.T. Expressand","1975"
"1560","60","That's the Way of the World","Earth, Wind and Fireand","1975"
"1561","61","Lady","Styxand","1975"
"1562","62","Bad Time","Grand Funkand","1975"
"1563","63","Only Women Bleed","Alice Cooperand","1975"
"1564","64","Doctor's Orders","Carol Douglasand","1975"
"1565","65","Get Down Tonight","KC and the Sunshine Bandand","1975"
"1566","66","One Man Woman/One Woman Man","Paul Anka and Odia Coatesand","1975"
"1567","67","You Are So Beautiful","Joe Cockerand","1975"
"1568","68","Feel Like Makin' Love","Bad Companyand","1975"
"1569","69","How Sweet It Is (To Be Loved by You)","James Taylorand","1975"
"1570","70","Dance with Me","Orleansand","1975"
"1571","71","Cut the Cake","Average White Bandand","1975"
"1572","72","Never Can Say Goodbye","Gloria Gaynorand","1975"
"1573","73","I Don't Like to Sleep Alone","Paul Anka and Odia Coatesand","1975"
"1574","74","Morning Side of the Mountain","Donny and Marie Osmondand","1975"
"1575","75","When Will I See You Again","The Three Degreesand","1975"
"1576","76","Get Down, Get Down (Get on the Floor)","Joe Simonand","1975"
"1577","77","I'm Sorry","John Denverand","1975"
"1578","78","Killer Queen","Queenand","1975"
"1579","79","Shoeshine Boy","Eddie Kendricksand","1975"
"1580","80","Do It ('Til You're Satisfied)","B.T. Expressand","1975"
"1581","81","Can't Get It Out of My Head","Electric Light Orchestraand","1975"
"1582","82","Sha-La-La (Make Me Happy)","Al Greenand","1975"
"1583","83","Lonely People","Americaand","1975"
"1584","84","You Got the Love","Rufusand","1975"
"1585","85","The Rockford Files Theme","Mike Postand","1975"
"1586","86","It Only Takes a Minute","Tavaresand","1975"
"1587","87","No No Song","Ringo Starrand","1975"
"1588","88","Junior's Farm","Paul McCartney and Wingsand","1975"
"1589","89","Bungle in the Jungle","Jethro Tulland","1975"
"1590","90","Long Tall Glasses (I Can Dance)","Leo Sayerand","1975"
"1591","91","Misty","Ray Stevensand","1975"
"1592","92","Someone Saved My Life Tonight","Elton Johnand","1975"
"1593","93","Bad Blood","Neil Sedakaand","1975"
"1594","94","Only Yesterday","The Carpentersand","1975"
"1595","95","I'm on Fire","Dwight Twilley Bandand","1975"
"1596","96","Only You (And You Alone)","Ringo Starrand","1975"
"1597","97","Third Rate Romance","Amazing Rhythm Acesand","1975"
"1598","98","You Ain't Seen Nothing Yet","Bachman<U+2013>Turner Overdriveand","1975"
"1599","99","Swearin' to God","Frankie Valliand","1975"
"1600","100","Get Dancin'","Disco-Tex and the Sex-O-Lettesand","1975"
"1601","1","Silly Love Songs","Wingsand","1976"
"1602","2","Don't Go Breaking My Heart","Elton John and Kiki Deeand","1976"
"1603","3","Disco Lady","Johnnie Taylorand","1976"
"1604","4","December, 1963 (Oh, What a Night)","The Four Seasonsand","1976"
"1605","5","Play That Funky Music","Wild Cherryand","1976"
"1606","6","Kiss and Say Goodbye","The Manhattansand","1976"
"1607","7","Love Machine","The Miraclesand","1976"
"1608","8","50 Ways to Leave Your Lover","Paul Simonand","1976"
"1609","9","Love Is Alive","Gary Wrightand","1976"
"1610","10","A Fifth of Beethoven","Walter Murphy and The Big Apple Bandand","1976"
"1611","11","Sara Smile","Hall and Oatesand","1976"
"1612","12","Afternoon Delight","Starland Vocal Bandand","1976"
"1613","13","I Write the Songs","Barry Manilowand","1976"
"1614","14","Fly, Robin, Fly","Silver Conventionand","1976"
"1615","15","Love Hangover","Diana Rossand","1976"
"1616","16","Get Closer","Seals and Croftsand","1976"
"1617","17","More, More, More","Andrea True Connectionand","1976"
"1618","18","Bohemian Rhapsody","Queenand","1976"
"1619","19","Misty Blue","Dorothy Mooreand","1976"
"1620","20","Boogie Fever","The Sylversand","1976"
"1621","21","I'd Really Love to See You Tonight","England Dan and John Ford Coleyand","1976"
"1622","22","You Sexy Thing","Hot Chocolateand","1976"
"1623","23","Love Hurts","Nazarethand","1976"
"1624","24","Get Up and Boogie","Silver Conventionand","1976"
"1625","25","Take It to the Limit","Eaglesand","1976"
"1626","26","(Shake, Shake, Shake) Shake Your Booty","KC and the Sunshine Bandand","1976"
"1627","27","Sweet Love","Commodoresand","1976"
"1628","28","Right Back Where We Started From","Maxine Nightingaleand","1976"
"1629","29","Theme from S.W.A.T.","Rhythm Heritageand","1976"
"1630","30","Love Rollercoaster","Ohio Playersand","1976"
"1631","31","You Should Be Dancing","Bee Geesand","1976"
"1632","32","You'll Never Find Another Love Like Mine","Lou Rawlsand","1976"
"1633","33","Golden Years","David Bowieand","1976"
"1634","34","Moonlight Feels Right","Starbuckand","1976"
"1635","35","Only Sixteen","Dr. Hookand","1976"
"1636","36","Let Your Love Flow","The Bellamy Brothersand","1976"
"1637","37","Dream Weaver","Gary Wrightand","1976"
"1638","38","Turn the Beat Around","Vicki Sue Robinsonand","1976"
"1639","39","Lonely Night (Angel Face)","Captain and Tennilleand","1976"
"1640","40","All by Myself","Eric Carmenand","1976"
"1641","41","Love to Love You Baby","Donna Summerand","1976"
"1642","42","Deep Purple","Donny and Marie Osmondand","1976"
"1643","43","Theme from Mahogany (Do You Know Where You're Going To)","Diana Rossand","1976"
"1644","44","Sweet Thing","Rufusand","1976"
"1645","45","That's the Way (I Like It)","KC and the Sunshine Bandand","1976"
"1646","46","A Little Bit More","Dr. Hookand","1976"
"1647","47","Shannon","Henry Grossand","1976"
"1648","48","If You Leave Me Now","Chicagoand","1976"
"1649","49","Lowdown","Boz Scaggsand","1976"
"1650","50","Show Me the Way","Peter Framptonand","1976"
"1651","51","Dream On","Aerosmithand","1976"
"1652","52","I Love Music","The O'Jaysand","1976"
"1653","53","Say You Love Me","Fleetwood Macand","1976"
"1654","54","Times of Your Life","Paul Ankaand","1976"
"1655","55","Devil Woman","Cliff Richardand","1976"
"1656","56","Fooled Around and Fell in Love","Elvin Bishopand","1976"
"1657","57","Convoy","C. W. McCalland","1976"
"1658","58","Welcome Back","John Sebastianand","1976"
"1659","59","Sing a Song","Earth, Wind and Fireand","1976"
"1660","60","Heaven Must Be Missing an Angel","Tavaresand","1976"
"1661","61","I'll Be Good to You","The Brothers Johnsonand","1976"
"1662","62","Rock and Roll Music","The Beach Boysand","1976"
"1663","63","Shop Around","Captain and Tennilleand","1976"
"1664","64","Saturday Night","Bay City Rollersand","1976"
"1665","65","Island Girl","Elton Johnand","1976"
"1666","66","Let's Do It Again","The Staple Singersand","1976"
"1667","67","Let 'Em In","Wingsand","1976"
"1668","68","Baby Face","Wing and a Prayer Fife and Drum Corpsand","1976"
"1669","69","This Masquerade","George Bensonand","1976"
"1670","70","Evil Woman","Electric Light Orchestraand","1976"
"1671","71","Wham Bam","Silverand","1976"
"1672","72","I'm Easy","Keith Carradineand","1976"
"1673","73","Wake Up Everybody","Harold Melvin and the Blue Notesand","1976"
"1674","74","Summer","Warand","1976"
"1675","75","Let Her In","John Travoltaand","1976"
"1676","76","Fox on the Run","Sweetand","1976"
"1677","77","Rhiannon","Fleetwood Macand","1976"
"1678","78","Got to Get You into My Life","The Beatlesand","1976"
"1679","79","Fanny (Be Tender with My Love)","Bee Geesand","1976"
"1680","80","Getaway","Earth, Wind and Fireand","1976"
"1681","81","She's Gone","Hall and Oatesand","1976"
"1682","82","Still the One","Orleansand","1976"
"1683","83","You're My Best Friend","Queenand","1976"
"1684","84","With Your Love","Jefferson Starshipand","1976"
"1685","85","Slow Ride","Foghatand","1976"
"1686","86","Who'd She Coo?","Ohio Playersand","1976"
"1687","87","The Boys Are Back in Town","Thin Lizzyand","1976"
"1688","88","Walk Away from Love","David Ruffinand","1976"
"1689","89","Baby, I Love Your Way (Live)","Peter Framptonand","1976"
"1690","90","Young Hearts Run Free","Candi Statonand","1976"
"1691","91","Breaking Up Is Hard to Do","Neil Sedakaand","1976"
"1692","92","Money Honey","Bay City Rollersand","1976"
"1693","93","Give Up the Funk (Tear the Roof off the Sucker)","Parliamentand","1976"
"1694","94","Junk Food Junkie","Larry Groceand","1976"
"1695","95","Tryin' to Get the Feeling Again","Barry Manilowand","1976"
"1696","96","Rock and Roll All Nite (Live)","Kissand","1976"
"1697","97","Disco Duck","Rick Dees and His Cast of Idiotsand","1976"
"1698","98","Take the Money and Run","Steve Miller Bandand","1976"
"1699","99","Squeeze Box","The Whoand","1976"
"1700","100","Country Boy (You Got Your Feet in L.A.)","Glen Campbelland","1976"
"1701","1","Tonight's the Night (Gonna Be Alright)","Rod Stewartand","1977"
"1702","2","I Just Want to Be Your Everything","Andy Gibband","1977"
"1703","3","Best of My Love","The Emotionsand","1977"
"1704","4","Evergreen (Love Theme from A Star Is Born)","Barbra Streisandand","1977"
"1705","5","Angel in Your Arms","Hotand","1977"
"1706","6","I Like Dreamin'","Kenny Nolanand","1977"
"1707","7","Don't Leave Me This Way","Thelma Houstonand","1977"
"1708","8","(Your Love Has Lifted Me) Higher and Higher","Rita Coolidgeand","1977"
"1709","9","Undercover Angel","Alan O'Dayand","1977"
"1710","10","Torn Between Two Lovers","Mary MacGregorand","1977"
"1711","11","I'm Your Boogie Man","KC and the Sunshine Bandand","1977"
"1712","12","Dancing Queen","ABBAand","1977"
"1713","13","You Make Me Feel Like Dancing","Leo Sayerand","1977"
"1714","14","Margaritaville","Jimmy Buffettand","1977"
"1715","15","Telephone Line","Electric Light Orchestraand","1977"
"1716","16","Whatcha Gonna Do?","Pablo Cruiseand","1977"
"1717","17","Do You Wanna Make Love","Peter McCannand","1977"
"1718","18","Sir Duke","Stevie Wonderand","1977"
"1719","19","Hotel California","Eaglesand","1977"
"1720","20","Got to Give It Up","Marvin Gayeand","1977"
"1721","21","Gonna Fly Now","Bill Contiand","1977"
"1722","22","Southern Nights","Glen Campbelland","1977"
"1723","23","Rich Girl","Hall and Oatesand","1977"
"1724","24","When I Need You","Leo Sayerand","1977"
"1725","25","Hot Line","The Sylversand","1977"
"1726","26","Car Wash","Rose Royceand","1977"
"1727","27","You Don't Have to Be a Star (To Be in My Show)","Marilyn McCoo and Billy Davis Jr.and","1977"
"1728","28","Fly Like an Eagle","Steve Miller Bandand","1977"
"1729","29","Don't Give Up on Us","David Souland","1977"
"1730","30","On and On","Stephen Bishopand","1977"
"1731","31","Feels Like the First Time","Foreignerand","1977"
"1732","32","Couldn't Get It Right","Climax Blues Bandand","1977"
"1733","33","Easy","Commodoresand","1977"
"1734","34","Right Time of the Night","Jennifer Warnesand","1977"
"1735","35","I've Got Love on My Mind","Natalie Coleand","1977"
"1736","36","Blinded by the Light","Manfred Mann's Earth Bandand","1977"
"1737","37","Looks Like We Made It","Barry Manilowand","1977"
"1738","38","So in to You","Atlanta Rhythm Sectionand","1977"
"1739","39","Dreams","Fleetwood Macand","1977"
"1740","40","Enjoy Yourself","The Jacksonsand","1977"
"1741","41","Dazz","Brickand","1977"
"1742","42","I'm in You","Peter Framptonand","1977"
"1743","43","Lucille","Kenny Rogersand","1977"
"1744","44","The Things We Do for Love","10ccand","1977"
"1745","45","Da Doo Ron Ron","Shaun Cassidyand","1977"
"1746","46","Handy Man","James Taylorand","1977"
"1747","47","Just a Song Before I Go","Crosby, Stills and Nashand","1977"
"1748","48","You and Me","Alice Cooperand","1977"
"1749","49","Swayin' to the Music (Slow Dancing)","Johnny Riversand","1977"
